Transform3D(0.753379, 0.606605, -0.213364, -0.564481, 0.46508, -0.675851, -0.30867, 0.629848, 0.705103, -0.134602, 0.660955, -0.572734)
Transform3D(0.753214, 0.606303, -0.214811, -0.564311, 0.462741, -0.677633, -0.309383, 0.631858, 0.702949, -0.134398, 0.661328, -0.572278)
Transform3D(0.753038, 0.606018, -0.216237, -0.564178, 0.460471, -0.679323, -0.310052, 0.633787, 0.700878, -0.134198, 0.661587, -0.572058)
Transform3D(0.751255, 0.607532, -0.218195, -0.565867, 0.457365, -0.680039, -0.311296, 0.634586, 0.699575, -0.134062, 0.661898, -0.571853)
Transform3D(0.750213, 0.60836, -0.219479, -0.566825, 0.455348, -0.680611, -0.312065, 0.635243, 0.698617, -0.133941, 0.662248, -0.571661)
Transform3D(0.749226, 0.609133, -0.220713, -0.567735, 0.453434, -0.681145, -0.312781, 0.635871, 0.697708, -0.133657, 0.662629, -0.571437)
Transform3D(0.748991, 0.608769, -0.222523, -0.568439, 0.452307, -0.681313, -0.312067, 0.637021, 0.696968, -0.133353, 0.663064, -0.57119)
Transform3D(0.750156, 0.606695, -0.224268, -0.568281, 0.452933, -0.681022, -0.309547, 0.638553, 0.696692, -0.133233, 0.663626, -0.571144)
Transform3D(0.75176, 0.604307, -0.225344, -0.567704, 0.454547, -0.680413, -0.306699, 0.639669, 0.696941, -0.133141, 0.664274, -0.57112)
Transform3D(0.753229, 0.602078, -0.22641, -0.567191, 0.455998, -0.679855, -0.304032, 0.640738, 0.697139, -0.132972, 0.664862, -0.570938)
Transform3D(0.754591, 0.599735, -0.2281, -0.566948, 0.457084, -0.679316, -0.301096, 0.64216, 0.697114, -0.133229, 0.665379, -0.570776)
Transform3D(0.756105, 0.598019, -0.227585, -0.565328, 0.458092, -0.679995, -0.300343, 0.643042, 0.69662, -0.133464, 0.665791, -0.570598)
Transform3D(0.75752, 0.596382, -0.227171, -0.563834, 0.459014, -0.680621, -0.299585, 0.643904, 0.696144, -0.133511, 0.666156, -0.570586)
Transform3D(0.757569, 0.59651, -0.226665, -0.563392, 0.45876, -0.681168, -0.300289, 0.643966, 0.695774, -0.133812, 0.666427, -0.570435)
Transform3D(0.758177, 0.596481, -0.224685, -0.561509, 0.458522, -0.68291, -0.302275, 0.644162, 0.694707, -0.13408, 0.666606, -0.570274)
